"Land","Arbeitslosenquote","MIPEX","Geschlechtersegregation","SozialerGradient"
"AT",5.5,48,NA,NA
"BE",7.1,70,NA,NA
"BG",6.2,NA,NA,NA
"CZ",2.9,NA,NA,NA
"DE",3.8,63,NA,NA
"DK",5.7,NA,NA,NA
"EE",5.8,NA,NA,NA
"EL",21.5,NA,NA,NA
"ES",17.2,NA,NA,NA
"FI",8.6,71,NA,NA
"FR",9.4,NA,NA,NA
"IE",6.7,NA,NA,NA
"IS",2.8,NA,NA,NA
"IT",11.2,NA,NA,NA
"LT",7.1,NA,NA,NA
"LV",8.7,34,NA,NA
"NL",4.9,NA,NA,NA
"NO",4.2,NA,NA,NA
"PL",4.9,NA,NA,NA
"PT",9,NA,NA,NA
"RO",4.9,NA,NA,NA
"SE",6.7,NA,NA,NA
"SK",8.1,NA,NA,NA
"UK",4.4,NA,NA,NA
