bplace;lat;lon
Albersfeld;9,5790285;47,7633119
Altenkundstadt;11,2395753;50,1280683
Augsfeld;10,5483741;50,0270591
Bamberg;10,9027636;49,8988135
Buch;10,421105;50,04907
Burgellern;11,0441172;49,9889484
Burkheim;11,202676;50,113458
Dampfach;10,4267079;49,9903593
Demmelsdorf;11,0597782;49,9708924
Dippach;10,712844;49,95723
Eckartshausen;10,696559;50,201734
Ehrl;11,056993;49,998591
Eltinghausen;10,1197095;50,157067
Eltmann;10,6635056;49,9673521
Falsbrunn;10,6003306;49,879387
Gädheim;10,348634;50,022258
Garstadt;10,1723244;49,9746902
Gerolzhofen;10,3495174;49,9005963
Geutenreuth;11,28741;50,089717
Giech;11,000369;49,959083
Gräfenhäusling;11,133569;50,00337
Greßhausen;10,383257;50,03628
Grettstadt;10,3115872;49,9857983
Großwenkheim;10,311302;50,25578
Hainert;10,5008151;49,9983296
Halbersdorf;10,6385136;49,8700338
Haslach;8,088127;48,276606
Herpersdorf;10,442141;49,692
Holzkirchen;9,680644;49,781643
Humprechtshausen;10,4490723;50,119869
Kehlingsdorf;10,5895113;49,8658284
Kerbfeld;10,464004;50,138597
Kirchaich;10,682048;49,9181219
Kleinmünster;10,452361;50,094671
Kleinsteinach;10,4490846;50,1107731
Knetzgau;10,5463718;49,9925629
Königsbrunn;10,889262;48,256096
Königsfeld;11,163963;49,946518
Koppenwind;10,566573;49,8734339
Köttensdorf;11,019186;49,955182
Kremmeldorf;11,01008;49,9377169
Kreuzthal;10,406635;50,102576
Mechenried;10,4760376;50,091437
Merkendorf;10,959523;49,959728
Mittelsteinach;10,570046;49,659494
Neuses am Sand;10,3536977;49,84449
Oberhaid;10,813163;49,9336649
Oberndorf;8,578398;48,296788
Oberrimbach;10,534811;49,728094
Obertheres;10,4478964;50,0232513
Oberweiler;10,588052;49,850303
Ottendorf;10,370455;50,020118
Pausdorf;11,0428761;50,0108161
Pfaffendorf;10,716085;50,170183
Pfarrweisach;10,7381314;50,1463611
Priesendorf;10,7115362;49,907596
Prölsdorf;10,626225;49,873637
Reichmannshausen;10,3869277;50,1228923
Salem;9,294193;47,762026
Schallfeld;10,35773;49,872665
Scheßlitz;11,034187;49,975755
Schlappenreuth;11,0607555;49,9863743
Schönbrunn;11,009543;50,117994
Seublitz;11,64173208;49,941396
Spielhof;10,636575;49,88442
Staffelbach;10,750911;49,946278
Steinbach;10,643201;49,993969
Sterzig;11,4336186;46,8926725
Straßgiech;11,000369;49,959083
Tambach;10,871558;50,233288
Theinheim;10,584419;49,885708
Tretzendorf;10,6541159;49,9288122
Trossenfurt;10,6603957;49,9240188
Tugendorf;10,396413;49,977691
Üchtelhausen;10,268847;50,091295
Untereurheim;10,354111;50,012072
Unterhohenried;10,5171294;50,0552277
Unterschleichach;10,6046844;49,9424531
Untersteinbach;10,54833;49,889577
Untertheres;10,4186888;50,0181161
Unterweiler;10,585379;49,838785
Wagenhausen;10,409794;50,030023
Waldsachsen;11,0306363;50,2778237
Weichendorf;10,9516325;49,9420063
Weingarten;11,046989;49,95088
Weisbrunn;10,677171;49,9432777
Windischletten;10,99425;49,9963817
Wohnau;10,457102;49,9634256
Wonfurt;10,467587;50,0125657
Wülflingen;10,478633;50,031312
Wustviel;10,527042;49,887323
Zeckendorf;11,056225;49,960661
Zell;10,564286;49,966838
Haßfurt;10,507768;50,032096
Eichstätt;11,187328;48,889872
Lichtenfels;11,059998;50,142529
Filderstadt;9,217587;48,677016
Heidelberg;8,687794;49,406648
Stade;9,475869;53,602092
Hamburg;10,003275;53,541914
Berlin;13,402452;52,517833
Schweighausen;7,967192;48,219589
Mühlenbach;8,111567;48,252228
Hausach;8,170049;48,284898
Zunsweiler;7,949672;48,424678
Darmstadt;8,649854;49,86906
Mannheim;8,482801;49,481608
Zürich;8,527442;47,375325
Schweinfurt;10,220137;50,04728
Eichstätt;11,186957;48,889807
Haßfurt;10,507757;50,032209
Dörringstadt;10,931279;50,081163
Stublang;11,043186;50,078195
Ützing;11,067669;50,86389
Gundelsheim;10,923772;49,937533
Hasslach;8,089088;48,276076
Bayreuth;11,569318;49,942121
Würzburg;9,937878;49,792405
Nürnberg;11,066060;49,446642
Greenville, SC;-82,388125;34,846735
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
